id,marca,nombre,coste,margen_pactado,activo
CAT-DUN-001,D-uñas,VINILOS CRISTALERA ( TLF SELLOS PAISES SERVICIOS),89.13,0.5416,TRUE
CAT-DUN-002,D-uñas,POSTER vinilo microventosa,24.7,0.2334,TRUE
CAT-DUN-003,D-uñas,Dibond 70 x 100,58.0,0.46,TRUE
CAT-DUN-004,D-uñas,MOSTRADOR 100,410.0,0.3011,TRUE
CAT-DUN-005,D-uñas,MOSTRADOR 80,354.0,0.3589,TRUE
CAT-DUN-006,D-uñas,MOSTRADOR 60,298.0,0.4092,TRUE
CAT-DUN-007,D-uñas,ALTOS 5P,1120.0,0.4017,TRUE
CAT-DUN-008,D-uñas,ALTOS 4P,1012.0,0.3187,TRUE
CAT-DUN-009,D-uñas,ALTOS 3P,846.0,0.2681,TRUE
CAT-DUN-010,D-uñas,BAJOS 5P,700.0,0.5906,TRUE
CAT-DUN-011,D-uñas,BAJOS 4P,456.0,0.6658,TRUE
CAT-DUN-012,D-uñas,BAJOS 3P,400.0,0.6222,TRUE
CAT-DUN-013,D-uñas,BAJOS 2 p,380.0,0.6146,TRUE
CAT-DUN-014,D-uñas,BAJOS 1P,350.0,0.2279,TRUE
CAT-DUN-015,D-uñas,ADAPTACIÓN E INSTALACIÓN DE ASPIRADOR,20.0,0.5499,TRUE
CAT-DUN-016,D-uñas,4P,1229.0,0.5696,TRUE
CAT-DUN-017,D-uñas,3P,1069.0,0.466,TRUE
CAT-DUN-018,D-uñas,2P,802.0,0.478,TRUE
CAT-DUN-019,D-uñas,1P,654.0,0.1937,TRUE
CAT-DUN-020,D-uñas,100 HASTA 300CM DE ALTO,214.0,0.4877,TRUE
CAT-DUN-021,D-uñas,PALILLERÍA 0,5 HASTA 300CM DE ALTO,127.0,0.208,TRUE
CAT-DUN-022,D-uñas,BALDA PARA PALILLERÍA 1,OO,16.0,0.5199,TRUE
CAT-DUN-023,D-uñas,BARRA PARA BLISTER + 5 GANCHOS,22.0,0.56,TRUE
CAT-DUN-024,D-uñas,EXPOSITOR MADERA,219.0,0.4303,TRUE
CAT-DUN-025,D-uñas,EXPO META,25.0,0.55,TRUE
CAT-DUN-026,D-uñas,MUEBLE CABINA 140/160,272.0,0.2735,TRUE
CAT-DUN-027,D-uñas,ADAPTACION CAJA ANTIGUA CORTa,80.0,0.4285,TRUE
CAT-DUN-028,D-uñas,ADAPTACION CAJA ANTIGUA LARGA,90.0,0.4526,TRUE
CAT-DUN-029,D-uñas,FRONTAL MADERA + LOGO PARA MUEBLE ANTIGUO,80.0,0.4285,TRUE
CAT-DUN-030,D-uñas,FORRADO DE ALMACENAJE,24.0,0.7157,TRUE
CAT-DUN-031,D-uñas,PARED AMARILLA CON MAPA 120 X 300,125.0,0.67,TRUE
